,ts_code,symbol,name,industry
1689,300247.SZ,300247,融捷健康,医疗保健
1690,300248.SZ,300248,新开普,软件服务
1691,300249.SZ,300249,依米康,软件服务
1692,300250.SZ,300250,初灵信息,软件服务
1693,300251.SZ,300251,光线传媒,影视音像
1694,300252.SZ,300252,金信诺,通信设备
1695,300253.SZ,300253,卫宁健康,软件服务
1696,300254.SZ,300254,仟源医药,化学制药
1697,300255.SZ,300255,常山药业,生物制药
1698,300256.SZ,300256,星星科技,元器件
1699,300257.SZ,300257,开山股份,机械基件
1700,300258.SZ,300258,精锻科技,汽车配件
1701,300259.SZ,300259,新天科技,电器仪表
1702,300260.SZ,300260,新莱应材,机械基件
1703,300261.SZ,300261,雅本化学,农药化肥
1704,300262.SZ,300262,巴安水务,环境保护
1705,300263.SZ,300263,隆华科技,专用机械
1706,300264.SZ,300264,佳创视讯,通信设备
1707,300265.SZ,300265,通光线缆,电气设备
1708,300266.SZ,300266,兴源环境,环境保护
1709,300267.SZ,300267,尔康制药,化学制药
1710,300268.SZ,300268,佳沃股份,农业综合
1711,300269.SZ,300269,联建光电,半导体
1712,300270.SZ,300270,中威电子,通信设备
1713,300271.SZ,300271,华宇软件,软件服务
1714,300272.SZ,300272,开能健康,环境保护
1715,300273.SZ,300273,和佳医疗,医疗保健
1716,300274.SZ,300274,阳光电源,电气设备
1717,300275.SZ,300275,梅安森,软件服务
1718,300276.SZ,300276,三丰智能,专用机械
1719,300277.SZ,300277,海联讯,软件服务
1720,300278.SZ,300278,华昌达,专用机械
1721,300279.SZ,300279,和晶科技,元器件
1722,300280.SZ,300280,紫天科技,广告包装
1723,300281.SZ,300281,金明精机,专用机械
1724,300282.SZ,300282,三盛教育,文教休闲
1725,300283.SZ,300283,温州宏丰,电气设备
1726,300284.SZ,300284,苏交科,建筑工程
